,words,Corrected_IOB2_Labels
12934,Settings,B-COMPONENT
12935,if,O
12936,required,B-ACTION
12937,Motor,B-COMPONENT
12938,is,O
12939,Blocked,B-ISSUE
12940,Motor,B-COMPONENT
12941,is,O
12942,idling,B-STATE
12943,(,O
12944,lost,O
12945,or,O
12946,missing,B-STATE
12947,propeller,B-COMPONENT
12948,),O
12949,Not,O
12950,Enough,B-ISSUE
12951,Force,B-PARAMETER
12952,/,O
12953,ESC,B-STATE
12954,Error,B-ISSUE
12955,Obstacle,I-ISSUE
12956,Avoidance,I-ISSUE
12957,disabled,O
12958,.,O
12959,Fly,B-ACTION
12960,with,O
12961,caution,O
12962,Panorama,B-STATE
12963,Captured,B-ACTION
12964,Successfully,B-STATE
12965,Propeller,B-COMPONENT
12966,Fell,B-ACTION
12967,Off,O
12968,Reaching,B-ACTION
12969,maximum,O
12970,altitude,O
12971,...,O
12972,Recenter,B-ACTION
12973,Gimbal,B-COMPONENT
12974,Pan,I-COMPONENT
12975,Return,B-ACTION
12976,-,O
12977,to,O
12978,-,O
12979,Home,B-COMPONENT
12980,Altitude,B-PARAMETER
12981,:,O
12982,nnn,O
12983,Returning,B-ACTION
12984,Home,B-COMPONENT
12985,Setting,B-FUNCTION
12986,new,O
12987,Maximum,O
12988,Flight,B-ACTION
12989,Altitude,B-PARAMETER
12990,to,O
12991,nnn,O
12992,(,O
12993,nnn,O
12994,),O
12995,Setting,B-FUNCTION
12996,new,O
12997,Return,B-ACTION
12998,-,O
12999,To,O
13000,-,O
13001,Home,B-COMPONENT
13002,altitude,O
13003,to,O
13004,nnn,O
13005,(,O
13006,nnn,O
13007,),O
13008,Signal,B-COMPONENT
13009,Lost,B-ISSUE
13010,.,O
13011,Aircraft,O
13012,returning,O
13013,to,O
13014,Home,B-COMPONENT
13015,Point,B-STATE
13016,Starting,B-ACTION
13017,Smart,B-STATE
13018,Track,B-FUNCTION
13019,"""",O
13020,Subject,B-PARAMETER
13021,lost,O
13022,",",O
13023,searching,B-STATE
13024,"""",O
13025,Switched,B-STATE
13026,to,O
13027,A,O
13028,(,O
13029,Attitude)-mode,B-STATE
13030,Switched,I-STATE
13031,to,O
13032,P,O
13033,(,O
13034,Positioning)-mode,B-PARAMETER
13035,Switched,B-STATE
13036,to,O
13037,S,O
13038,(,O
13039,Sport)-mode,B-PARAMETER
13040,The,O
13041,remaining,B-STATE
13042,battery,O
13043,is,O
13044,only,O
13045,enough,B-ISSUE
13046,for,O
13047,RTH,B-STATE
13048,.,O
13049,Return,B-ACTION
13050,home,O
13051,now,O
13052,"""",O
13053,Tip,B-COMPONENT
13054,:,O
13055,Aircraft,O
13056,reached,O
13057,maximum,O
13058,distance,O
13059,",",O
13060,please,O
13061,pay,B-ACTION
13062,attention,B-PARAMETER
13063,to,O
13064,flight,O
13065,safety,O
13066,"""",O
13067,Tip,B-COMPONENT
13068,:,O
13069,Only,O
13070,the,O
13071,first,O
13072,camera,O
13073,can,O
13074,tap,B-ACTION
13075,-,O
13076,zoom,B-STATE
13077,in,O
13078,dual,B-COMPONENT
13079,gimbal,O
13080,control,B-COMPONENT
13081,mode,O
13082,"""",O
13083,Tip,B-COMPONENT
13084,:,O
13085,When,O
13086,multi,B-STATE
13087,-,O
13088,gimbals,B-COMPONENT
13089,are,O
13090,controlled,B-STATE
13091,together,I-STATE
13092,",",O
13093,only,O
13094,the,O
13095,first,O
13096,gimbal,O
13097,spotlight,B-COMPONENT
13098,feature,B-PARAMETER
13099,is,O
13100,available,B-STATE
13101,"""",O
13102,"""",O
13103,To,O
13104,take,O
13105,off,O
13106,in,O
13107,non,O
13108,-,O
13109,P,O
13110,mode,O
13111,",",O
13112,toggle,B-ACTION
13113,Flight,I-ACTION
13114,Mode,B-PARAMETER
13115,Switch,B-ACTION
13116,to,O
13117,another,O
13118,mode,O
13119,and,O
13120,then,O
13121,toggle,B-ACTION
13122,it,O
13123,back,O
13124,"""",O
13125,Video,B-COMPONENT
13126,cache,I-COMPONENT
13127,has,O
13128,stopped,B-ACTION
13129,because,O
13130,there,O
13131,is,O
13132,not,O
13133,enough,B-ISSUE
13134,storage,B-PARAMETER
13135,space,B-COMPONENT
13136,.,O
13137,You,O
13138,can,O
13139,enable,B-ACTION
13140,Auto,I-ACTION
13141,Cache,B-COMPONENT
13142,Clear,B-ACTION
13143,or,O
13144,manually,O
13145,delete,B-ACTION
13146,cache,B-COMPONENT
13147,to,O
13148,get,B-ACTION
13149,enough,B-ISSUE
13150,space,B-COMPONENT
13151,Warning,B-ISSUE
13152,:,O
13153,Critically,O
13154,low,O
13155,battery,O
13156,.,O
13157,Please,O
13158,change,O
13159,the,O
13160,battery,O
13161,Your,O
13162,aircraft,O
13163,is,O
13164,at,O
13165,the,O
13166,boundary,B-PARAMETER
13167,of,O
13168,an,O
13169,Altitude,B-PARAMETER
13170,Zone,B-COMPONENT
13171,.,O
13172,Please,O
13173,fly,O
13174,away,O
13175,or,O
13176,land,O
13177,with,O
13178,caution,O
13179,Your,O
13180,aircraft,O
13181,is,O
13182,at,O
13183,the,O
13184,boundary,B-PARAMETER
13185,of,O
13186,an,O
13187,Authorization,B-ISSUE
13188,Zone,B-COMPONENT
13189,.,O
13190,Please,O
13191,fly,O
13192,away,O
13193,with,O
13194,caution,O
13195,Your,O
13196,aircraft,O
13197,is,O
13198,flying,O
13199,in,O
13200,an,O
13201,Altitude,B-PARAMETER
13202,Zone,B-COMPONENT
13203,(,O
13204,nnn,O
13205,),O
13206,.,O
13207,Please,O
13208,fly,O
13209,with,O
13210,caution,O
13211,Aircraft,O
13212,is,O
13213,returning,O
13214,to,O
13215,the,O
13216,Home,B-COMPONENT
13217,Point,B-STATE
13218,.,O
13219,Minimum,B-STATE
13220,RTH,I-STATE
13221,Altitude,B-PARAMETER
13222,is,O
13223,nnn,O
13224,.,O
13225,You,O
13226,can,O
13227,reset,B-ACTION
13228,the,O
13229,RTH,B-STATE
13230,Altitude,B-PARAMETER
13231,in,O
13232,Remote,B-COMPONENT
13233,Controller,I-COMPONENT
13234,Settings,I-COMPONENT
13235,after,O
13236,cancelling,B-ACTION
13237,RTH,B-STATE
13238,if,O
13239,necessary,O
13240,Aircraft,O
13241,is,O
13242,returning,O
13243,to,O
13244,the,O
13245,Home,B-COMPONENT
13246,Point,B-STATE
13247,.,O
13248,RTH,B-STATE
13249,Altitude,B-PARAMETER
13250,is,O
13251,nnn,O
13252,.,O
13253,You,O
13254,can,O
13255,reset,B-ACTION
13256,the,O
13257,RTH,B-STATE
13258,Altitude,B-PARAMETER
13259,in,O
13260,Remote,B-COMPONENT
13261,Controller,I-COMPONENT
13262,Settings,I-COMPONENT
13263,after,O
13264,cancelling,B-ACTION
13265,RTH,B-STATE
13266,if,O
13267,necessary,O
13268,Aircraft,O
13269,will,O
13270,automatically,O
13271,descend,B-ACTION
13272,in,O
13273,nnn,O
13274,Barometer,B-COMPONENT
13275,Dead,O
13276,in,O
13277,Air,O
13278,"""",O
13279,Camera,B-COMPONENT
13280,busy,B-STATE
13281,",",O
13282,can,O
13283,not,O
13284,enter,B-ACTION
13285,playback,B-STATE
13286,"""",O
13287,"""",O
13288,Can,O
13289,not,O
13290,switch,B-ACTION
13291,flight,O
13292,mode,O
13293,.,O
13294,Turn,B-ACTION
13295,on,O
13296,"""",O
13297,"""",O
13298,Multiple,O
13299,Flight,B-ACTION
13300,Modes,B-STATE
13301,"""",O
13302,"""",O
13303,to,O
13304,enable,B-ACTION
13305,Atti,B-STATE
13306,and,O
13307,Sport,B-ISSUE
13308,Modes,B-STATE
13309,"""",O
13310,Compass,B-COMPONENT
13311,Error,B-ISSUE
13312,Critical,O
13313,low,O
13314,battery,O
13315,.,O
13316,Return,B-ACTION
13317,to,O
13318,home,O
13319,or,O
13320,land,O
13321,promptly,O
13322,Critically,O
13323,low,O
13324,power,O
13325,.,O
13326,Aircraft,O
13327,is,O
13328,landing,O
13329,Data,B-PARAMETER
13330,Recorder,B-COMPONENT
13331,File,O
13332,Index,O
13333,is,O
13334,nnn,O
13335,"""",O
13336,Detected,O
13337,side,O
13338,/,O
13339,backward,O
13340,/,O
13341,forward,O
13342,shock,O
13343,/,O
13344,possible,O
13345,collision,O
13346,",",O
13347,aircraft,O
13348,is,O
13349,pitching,O
13350,/,O
13351,rolling,O
13352,sharply,O
13353,forward,O
13354,/,O
13355,backwards,O
13356,/,O
13357,left,O
13358,/,O
13359,right,O
13360,"""",O
13361,Downlink,B-COMPONENT
13362,data,O
13363,connection,O
13364,lost,O
13365,for,O
13366,nnn,O
13367,seconds,O
13368,Downward,O
13369,ambient,B-STATE
13370,light,B-PARAMETER
13371,too,O
13372,low,O
13373,.,O
13374,Obstacle,B-ISSUE
13375,avoidance,O
13376,unavailable,O
13377,.,O
13378,Fly,B-ACTION
13379,with,O
13380,caution,O
13381,Exiting,B-ACTION
13382,GPS,O
13383,mode,O
13384,:,O
13385,Unknown,B-STATE
13386,Error,B-ISSUE
13387,GEO,B-STATE
13388,:,O
13389,You,O
13390,are,O
13391,in,O
13392,a,O
13393,Warning,B-ISSUE
13394,Zone,B-COMPONENT
13395,(,O
13396,Airport,O
13397,Class,B-PARAMETER
13398,Airspace,B-COMPONENT
13399,Unpaved,B-STATE
13400,Airports,O
13401,Power,B-PARAMETER
13402,Plant,B-COMPONENT
13403,),O
13404,.,O
13405,Fly,B-ACTION
13406,with,O
13407,caution,O
13408,Gimbal,B-COMPONENT
13409,nnn,O
13410,pan,B-COMPONENT
13411,axis,I-COMPONENT
13412,endpoint,I-COMPONENT
13413,reached,O
13414,Gimbal,B-COMPONENT
13415,nnn,O
13416,pitch,O
13417,axis,B-COMPONENT
13418,endpoint,I-COMPONENT
13419,reached,O
13420,Gimbal,B-COMPONENT
13421,Recenter,B-ACTION
13422,High,O
13423,Wind,B-COMPONENT
13424,Velocity,B-PARAMETER
13425,:,O
13426,Fly,B-ACTION
13427,with,O
13428,caution,O
13429,and,O
13430,ensure,O
13431,the,O
13432,aircraft,O
13433,remains,O
13434,within,O
13435,your,O
13436,line,O
13437,of,O
13438,sight,O
13439,Home,B-COMPONENT
13440,Point,B-STATE
13441,Recorded,B-FUNCTION
13442,Motor,B-COMPONENT
13443,is,O
13444,Blocked,B-ISSUE
13445,Motor,B-COMPONENT
13446,nnn,O
13447,propeller,B-COMPONENT
13448,detached,B-ISSUE
13449,or,O
13450,installed,B-ACTION
13451,incorrectly,B-STATE
13452,(,O
13453,0x16080029,O
13454,),O
13455,Motor,B-COMPONENT
13456,nnn,O
13457,stalled,B-STATE
13458,.,O
13459,Land,B-ACTION
13460,aircraft,O
13461,immediately,O
13462,Propeller,B-COMPONENT
13463,Fell,B-ACTION
13464,Off,O
13465,Reaching,B-ACTION
13466,maximum,O
13467,altitude,O
13468,...,O
13469,Recenter,B-ACTION
13470,Gimbal,B-COMPONENT
13471,Pan,I-COMPONENT
13472,Remote,I-COMPONENT
13473,controller,O
13474,signal,O
13475,weak,O
13476,.,O
13477,Adjust,B-ACTION
13478,remote,O
13479,controller,O
13480,antennas,O
13481,(,O
13482,Code,O
13483,:,O
13484,80002,O
13485,),O
13486,Return,B-ACTION
13487,-,O
13488,to,O
13489,-,O
13490,Home,B-COMPONENT
13491,Altitude,B-PARAMETER
13492,:,O
13493,nnn,O
13494,Returning,B-ACTION
13495,Home,B-COMPONENT
13496,RTK,I-COMPONENT
13497,signal,O
13498,weak,O
13499,.,O
13500,Move,B-ACTION
13501,to,O
13502,an,O
13503,open,B-ACTION
13504,area,B-STATE
13505,for,O
13506,takeoff,O
13507,or,O
13508,turn,B-ACTION
13509,off,O
13510,RTK,B-COMPONENT
13511,Setting,B-FUNCTION
13512,new,O
13513,Maximum,O
13514,Flight,B-ACTION
13515,Altitude,B-PARAMETER
13516,to,O
13517,nnn,O
13518,(,O
13519,nnn,O
13520,),O
13521,Setting,B-FUNCTION
13522,new,O
13523,Return,B-ACTION
13524,-,O
13525,To,O
13526,-,O
13527,Home,B-COMPONENT
13528,altitude,O
13529,to,O
13530,nnn,O
13531,(,O
13532,nnn,O
13533,),O
13534,Signal,B-COMPONENT
13535,Lost,B-ISSUE
13536,.,O
13537,Aircraft,O
13538,returning,O
13539,to,O
13540,Home,B-COMPONENT
13541,Point,B-STATE
13542,Switched,I-STATE
13543,to,O
13544,A,O
13545,(,O
13546,Attitude)-mode,B-STATE
13547,Switched,I-STATE
13548,to,O
13549,S,O
13550,(,O
13551,Sport)-mode,B-PARAMETER
13552,Switched,B-STATE
13553,to,O
13554,T,O
13555,(,O
13556,Tripod)-mode,B-STATE
13557,The,O
13558,remaining,B-STATE
13559,battery,O
13560,is,O
13561,only,O
13562,enough,B-ISSUE
13563,for,O
13564,RTH,B-STATE
13565,.,O
13566,Return,B-ACTION
13567,home,O
13568,now,O
13569,"""",O
13570,Tip,B-COMPONENT
13571,:,O
13572,Aircraft,O
13573,reached,O
13574,maximum,O
13575,distance,O
13576,",",O
13577,please,O
13578,pay,B-ACTION
13579,attention,B-PARAMETER
13580,to,O
13581,flight,O
13582,safety,O
13583,"""",O
13584,Your,O
13585,aircraft,O
13586,is,O
13587,flying,O
13588,in,O
13589,an,O
13590,Altitude,B-PARAMETER
13591,Zone,B-COMPONENT
13592,(,O
13593,nnn,O
13594,),O
13595,.,O
13596,Please,O
13597,fly,O
13598,with,O
13599,caution,O
13600,Aircraft,O
13601,is,O
13602,close,B-ACTION
13603,to,O
13604,the,O
13605,Home,B-COMPONENT
13606,Point,B-STATE
13607,.,O
13608,Initiating,B-ACTION
13609,Return,I-ACTION
13610,to,O
13611,Home,B-COMPONENT
13612,will,O
13613,now,O
13614,trigger,B-PARAMETER
13615,Auto,B-ACTION
13616,Landing,I-ACTION
13617,Aircraft,O
13618,is,O
13619,returning,O
13620,to,O
13621,the,O
13622,Home,B-COMPONENT
13623,Point,B-STATE
13624,.,O
13625,Minimum,B-STATE
13626,RTH,I-STATE
13627,Altitude,B-PARAMETER
13628,is,O
13629,nnn,O
13630,.,O
13631,You,O
13632,can,O
13633,reset,B-ACTION
13634,the,O
13635,RTH,B-STATE
13636,Altitude,B-PARAMETER
13637,in,O
13638,Remote,B-COMPONENT
13639,Controller,I-COMPONENT
13640,Settings,I-COMPONENT
13641,after,O
13642,cancelling,B-ACTION
13643,RTH,B-STATE
13644,if,O
13645,necessary,O
13646,Aircraft,O
13647,will,O
13648,automatically,O
13649,descend,B-ACTION
13650,in,O
13651,nnn,O
13652,Barometer,B-COMPONENT
13653,Dead,O
13654,in,O
13655,Air,O
13656,"""",O
13657,Camera,B-COMPONENT
13658,busy,B-STATE
13659,",",O
13660,can,O
13661,not,O
13662,enter,B-ACTION
13663,playback,B-STATE
13664,"""",O
13665,"""",O
13666,Can,O
13667,not,O
13668,switch,B-ACTION
13669,flight,O
13670,mode,O
13671,.,O
13672,Turn,B-ACTION
13673,on,O
13674,"""",O
13675,"""",O
13676,Multiple,O
13677,Flight,B-ACTION
13678,Modes,B-STATE
13679,"""",O
13680,"""",O
13681,to,O
13682,enable,B-ACTION
13683,Atti,B-STATE
13684,and,O
13685,Sport,B-ISSUE
13686,Modes,B-STATE
13687,"""",O
13688,Critical,O
13689,low,O
13690,battery,O
13691,.,O
13692,Return,B-ACTION
13693,to,O
13694,home,O
13695,or,O
13696,land,O
13697,promptly,O
13698,Critically,O
13699,low,O
13700,power,O
13701,.,O
13702,Aircraft,O
13703,is,O
13704,landing,O
13705,Data,B-PARAMETER
13706,Recorder,B-COMPONENT
13707,File,O
13708,Index,O
13709,is,O
13710,nnn,O
13711,"""",O
13712,Detected,O
13713,side,O
13714,/,O
13715,backward,O
13716,/,O
13717,forward,O
13718,shock,O
13719,/,O
13720,possible,O
13721,collision,O
13722,",",O
13723,aircraft,O
13724,is,O
13725,pitching,O
13726,/,O
13727,rolling,O
13728,sharply,O
13729,forward,O
13730,/,O
13731,backwards,O
13732,/,O
13733,left,O
13734,/,O
13735,right,O
13736,"""",O
13737,Downlink,B-COMPONENT
13738,data,O
13739,connection,O
13740,lost,O
13741,for,O
13742,nnn,O
13743,seconds,O
13744,Downward,O
13745,ambient,B-STATE
13746,light,B-PARAMETER
13747,too,O
13748,low,O
13749,.,O
13750,Obstacle,B-ISSUE
13751,avoidance,O
13752,unavailable,O
13753,.,O
13754,Fly,B-ACTION
13755,with,O
13756,caution,O
13757,Exiting,B-ACTION
13758,GPS,O
13759,mode,O
13760,:,O
13761,Unknown,B-STATE
13762,Error,B-ISSUE
13763,GEO,B-STATE
13764,:,O
13765,You,O
13766,are,O
13767,in,O
13768,a,O
13769,Warning,B-ISSUE
13770,Zone,B-COMPONENT
13771,(,O
13772,Airport,O
13773,Class,B-PARAMETER
13774,Airspace,B-COMPONENT
13775,Unpaved,B-STATE
13776,Airports,O
13777,Power,B-PARAMETER
13778,Plant,B-COMPONENT
13779,),O
13780,.,O
13781,Fly,B-ACTION
13782,with,O
13783,caution,O
13784,Gimbal,B-COMPONENT
13785,nnn,O
13786,pan,B-COMPONENT
13787,axis,I-COMPONENT
13788,endpoint,I-COMPONENT
13789,reached,O
13790,Gimbal,B-COMPONENT
13791,nnn,O
13792,pitch,O
13793,axis,B-COMPONENT
13794,endpoint,I-COMPONENT
13795,reached,O
13796,Gimbal,B-COMPONENT
13797,Recenter,B-ACTION
13798,High,O
13799,Wind,B-COMPONENT
13800,Velocity,B-PARAMETER
13801,:,O
13802,Fly,B-ACTION
13803,with,O
13804,caution,O
13805,and,O
13806,ensure,O
13807,the,O
13808,aircraft,O
13809,remains,O
13810,within,O
13811,your,O
13812,line,O
13813,of,O
13814,sight,O
13815,Motor,B-COMPONENT
13816,is,O
13817,Blocked,B-ISSUE
13818,Motor,B-COMPONENT
13819,nnn,O
13820,propeller,B-COMPONENT
13821,detached,B-ISSUE
13822,or,O
13823,installed,B-ACTION
13824,incorrectly,B-STATE
13825,(,O
13826,0x16080029,O
13827,),O
13828,Motor,B-COMPONENT
13829,nnn,O
13830,stalled,B-STATE
13831,.,O
13832,Land,B-ACTION
13833,aircraft,O
13834,immediately,O
13835,Propeller,B-COMPONENT
13836,Fell,B-ACTION
13837,Off,O
13838,Reaching,B-ACTION
13839,maximum,O
13840,altitude,O
13841,...,O
13842,Recenter,B-ACTION
13843,Gimbal,B-COMPONENT
13844,Pan,I-COMPONENT
13845,Remote,I-COMPONENT
13846,controller,O
13847,signal,O
13848,weak,O
13849,.,O
13850,Adjust,B-ACTION
13851,remote,O
13852,controller,O
13853,antennas,O
13854,(,O
13855,Code,O
13856,:,O
13857,80002,O
13858,),O
13859,Returning,B-ACTION
13860,Home,B-COMPONENT
13861,RTK,I-COMPONENT
13862,signal,O
13863,weak,O
13864,.,O
13865,Move,B-ACTION
13866,to,O
13867,an,O
13868,open,B-ACTION
13869,area,B-STATE
13870,for,O
13871,takeoff,O
13872,or,O
13873,turn,B-ACTION
13874,off,O
13875,RTK,B-COMPONENT
13876,Setting,B-FUNCTION
13877,new,O
13878,Maximum,O
13879,Flight,B-ACTION
13880,Altitude,B-PARAMETER
13881,to,O
13882,nnn,O
13883,(,O
13884,nnn,O
13885,),O
13886,Setting,B-FUNCTION
13887,new,O
13888,Return,B-ACTION
13889,-,O
13890,To,O
13891,-,O
13892,Home,B-COMPONENT
13893,altitude,O
13894,to,O
13895,nnn,O
13896,(,O
13897,nnn,O
13898,),O
13899,Signal,B-COMPONENT
13900,Lost,B-ISSUE
13901,.,O
13902,Aircraft,O
13903,returning,O
13904,to,O
13905,Home,B-COMPONENT
13906,Point,B-STATE
13907,Switched,I-STATE
13908,to,O
13909,A,O
13910,(,O
13911,Attitude)-mode,B-STATE
13912,Switched,I-STATE
13913,to,O
13914,S,O
13915,(,O
13916,Sport)-mode,B-PARAMETER
13917,Switched,B-STATE
13918,to,O
13919,T,O
13920,(,O
13921,Tripod)-mode,B-STATE
13922,The,O
13923,remaining,B-STATE
13924,battery,O
13925,is,O
13926,only,O
13927,enough,B-ISSUE
13928,for,O
13929,RTH,B-STATE
13930,.,O
13931,Return,B-ACTION
13932,home,O
13933,now,O
13934,"""",O
13935,Tip,B-COMPONENT
13936,:,O
13937,Aircraft,O
13938,reached,O
13939,maximum,O
13940,distance,O
13941,",",O
13942,please,O
13943,pay,B-ACTION
13944,attention,B-PARAMETER
13945,to,O
13946,flight,O
13947,safety,O
13948,"""",O
13949,Your,O
13950,aircraft,O
13951,is,O
13952,flying,O
13953,in,O
13954,an,O
13955,Altitude,B-PARAMETER
13956,Zone,B-COMPONENT
13957,(,O
13958,nnn,O
13959,),O
13960,.,O
13961,Please,O
13962,fly,O
13963,with,O
13964,caution,O
13965,Account,O
13966,not,O
13967,logged,O
13968,in,O
13969,.,O
13970,Flight,B-ACTION
13971,altitude,O
13972,and,O
13973,distance,O
13974,restricted,O
13975,to,O
13976,nnn,O
13977,and,O
13978,nnn,O
13979,.,O
13980,Check,B-ACTION
13981,and,O
13982,log,O
13983,in,O
13984,(,O
13985,Code,O
13986,:,O
13987,3000003,O
13988,),O
13989,Aircraft,O
13990,GPS,O
13991,interference,O
13992,.,O
13993,Aircraft,O
13994,unable,O
13995,to,O
13996,fly,O
13997,stably,O
13998,.,O
13999,Land,B-ACTION
14000,or,O
14001,reutrn,O
14002,to,O
14003,home,O
14004,promptly,O
14005,(,O
14006,Code,O
14007,:,O
14008,30245,O
14009,),O
14010,Aircraft,O
14011,in,O
14012,Altitude,B-PARAMETER
14013,Zone,B-COMPONENT
14014,(,O
14015,Altitude,B-PARAMETER
14016,limit,O
14017,:,O
14018,nnn,O
14019,),O
14020,.,O
14021,Fly,B-ACTION
14022,with,O
14023,caution,O
14024,(,O
14025,Code,O
14026,:,O
14027,190012,O
14028,),O
14029,Aircraft,O
14030,in,O
14031,Altitude,B-PARAMETER
14032,Zone,B-COMPONENT
14033,(,O
14034,nnn,O
14035,),O
14036,.,O
14037,Fly,B-ACTION
14038,with,O
14039,caution,O
14040,(,O
14041,Code,O
14042,:,O
14043,190001,O
14044,),O
14045,Aircraft,O
14046,in,O
14047,Attitude,B-PARAMETER
14048,mode,O
14049,.,O
14050,Unable,O
14051,to,O
14052,hover,O
14053,.,O
14054,Fly,B-ACTION
14055,with,O
14056,caution,O
14057,(,O
14058,Code,O
14059,:,O
14060,30004,O
14061,),O
14062,Aircraft,O
14063,in,O
14064,Authorization,B-ISSUE
14065,Zone,B-COMPONENT
14066,.,O
14067,Exit,B-ACTION
14068,zone,O
14069,promptly,O
14070,(,O
14071,Code,O
14072,:,O
14073,190004,O
14074,),O
14075,Aircraft,O
14076,in,O
14077,Authorization,B-ISSUE
14078,Zone,B-COMPONENT
14079,.,O
14080,Unable,O
14081,to,O
14082,take,O
14083,off,O
14084,before,O
14085,unlocking,O
14086,(,O
14087,Code,O
14088,:,O
14089,3000005,O
14090,),O
14091,Aircraft,O
14092,in,O
14093,high,O
14094,interference,O
14095,environment,B-STATE
14096,.,O
14097,Fly,B-ACTION
14098,with,O
14099,caution,O
14100,(,O
14101,Code,O
14102,:,O
14103,80015,O
14104,),O
14105,Aircraft,O
14106,in,O
14107,high,O
14108,interference,O
14109,environment,B-STATE
14110,.,O
14111,Manually,O
14112,adjust,B-ACTION
14113,flight,O
14114,route,B-PARAMETER
14115,or,O
14116,return,O
14117,to,O
14118,home,O
14119,(,O
14120,Code,O
14121,:,O
14122,80015,O
14123,),O
14124,Aircraft,O
14125,in,O
14126,Restricted,O
14127,Zone,B-COMPONENT
14128,.,O
14129,Unable,O
14130,to,O
14131,take,O
14132,off,O
14133,.,O
14134,Check,B-ACTION
14135,map,O
14136,to,O
14137,find,O
14138,Recommended,B-STATE
14139,Zones,B-COMPONENT
14140,(,O
14141,Code,O
14142,:,O
14143,3000006,O
14144,),O
14145,"""",O
14146,Aircraft,O
14147,max,O
14148,power,O
14149,load,O
14150,reached,O
14151,.,O
14152,Decrease,B-ACTION
14153,altitude,O
14154,and,O
14155,fly,O
14156,with,O
14157,caution,O
14158,.,O
14159,If,O
14160,this,O
14161,issue,O
14162,persists,O
14163,",",O
14164,land,O
14165,immediately,O
14166,(,O
14167,Code,O
14168,:,O
14169,30168,O
14170,),O
14171,"""",O
14172,Aircraft,O
14173,pitch,O
14174,angle,O
14175,too,O
14176,large,O
14177,.,O
14178,Ensure,B-ACTION
14179,aircraft,O
14180,is,O
14181,level,O
14182,before,O
14183,taking,O
14184,off,O
14185,(,O
14186,Code,O
14187,:,O
14188,30087,O
14189,),O
14190,Aircraft,O
14191,unable,O
14192,to,O
14193,return,O
14194,to,O
14195,home,O
14196,automatically,O
14197,.,O
14198,Lower,O
14199,altitude,O
14200,immediately,O
14201,and,O
14202,return,O
14203,to,O
14204,home,O
14205,manually,O
14206,(,O
14207,Code,O
14208,:,O
14209,120596,O
14210,),O
14211,Battery,B-COMPONENT
14212,power,O
14213,restricted,O
14214,.,O
14215,Aircraft,O
14216,performance,O
14217,decreased,O
14218,to,O
14219,ensure,O
14220,flight,O
14221,safety,O
14222,.,O
14223,Return,B-ACTION
14224,to,O
14225,home,O
14226,promptly,O
14227,(,O
14228,Code,O
14229,:,O
14230,110013,O
14231,),O
14232,Battery,B-COMPONENT
14233,temperature,O
14234,too,O
14235,low,O
14236,.,O
14237,Fly,B-ACTION
14238,with,O
14239,caution,O
14240,(,O
14241,Code,O
14242,:,O
14243,110023,O
14244,),O
14245,Compass,B-COMPONENT
14246,Error,B-ISSUE
14247,Compass,B-COMPONENT
14248,error,O
14249,.,O
14250,Ensure,B-ACTION
14251,there,O
14252,are,O
14253,no,O
14254,metal,O
14255,or,O
14256,magnetic,O
14257,objects,O
14258,near,O
14259,the,O
14260,aircraft,O
14261,and,O
14262,calibrate,O
14263,it,O
14264,before,O
14265,use,O
14266,(,O
14267,Code,O
14268,:,O
14269,30060,O
14270,),O
14271,Compass,B-COMPONENT
14272,initialization,O
14273,failed,O
14274,.,O
14275,Restart,B-ACTION
14276,aircraft,O
14277,(,O
14278,Code,O
14279,:,O
14280,30063,O
14281,),O
14282,Critical,O
14283,Low,O
14284,Battery,B-COMPONENT
14285,(,O
14286,Code,O
14287,:,O
14288,30032,O
14289,),O
14290,Critical,O
14291,Low,O
14292,Battery,B-COMPONENT
14293,(,O
14294,Code,O
14295,:,O
14296,30183,O
14297,),O
14298,Critical,O
14299,low,O
14300,battery,O
14301,.,O
14302,Aircraft,O
14303,in,O
14304,Auto,B-ACTION
14305,Power,B-PARAMETER
14306,Off,O
14307,Protection,B-PARAMETER
14308,.,O
14309,Forced,O
14310,landing,O
14311,in,O
14312,progress,O
14313,(,O
14314,Code,O
14315,:,O
14316,110014,O
14317,),O
14318,Critical,O
14319,low,O
14320,battery,O
14321,.,O
14322,Aircraft,O
14323,landing,O
14324,automatically,O
14325,(,O
14326,Code,O
14327,:,O
14328,30033,O
14329,),O
14330,Critical,O
14331,low,O
14332,battery,O
14333,.,O
14334,Aircraft,O
14335,returning,O
14336,to,O
14337,home,O
14338,(,O
14339,Code,O
14340,:,O
14341,30184,O
14342,),O
14343,Critical,O
14344,low,O
14345,battery,O
14346,.,O
14347,Recharge,B-ACTION
14348,promptly,O
14349,(,O
14350,Code,O
14351,:,O
14352,30077,O
14353,),O
14354,Critical,O
14355,low,O
14356,battery,O
14357,.,O
14358,Return,B-ACTION
14359,to,O
14360,home,O
14361,or,O
14362,land,O
14363,promptly,O
14364,Critical,O
14365,low,O
14366,battery,O
14367,.,O
14368,Unable,O
14369,to,O
14370,take,O
14371,off,O
14372,.,O
14373,Recharge,B-ACTION
14374,promptly,O
14375,(,O
14376,Code,O
14377,:,O
14378,30032,O
14379,),O
14380,Current,B-PARAMETER
14381,elevation,O
14382,above,O
14383,nnn,O
14384,(,O
14385,nnn,O
14386,),O
14387,.,O
14388,Fly,B-ACTION
